Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Lending category,Other groups,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LVA,,,Latvia,,,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LBN,,,Lebanon,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LSO,,,Lesotho,,,,,Lesotho,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LBR,,,Liberia,,,,,Liberia,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LTU,,,Lithuania,,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
LUX,,,Luxembourg,,,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
MDG,,,Madagascar,,,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,
MDG,,,Madagascar,,,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,
MDG,,,Madagascar,,,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,
MDG,,,Madagascar,,,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,
MDG,,,Madagascar,,,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,
MDG,,,Madagascar,,,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,
